Invoice_No,Customer_ID,Customer_Industry,Invoice_Date,Due_Date,Invoice_Amount,Amount_Paid,Outstanding_Amount,Status,Last_Payment_Date,Aging_Bucket,Payment_Delay_Days,Partial_Payment_Flag,High_Risk_Flag,Payment_Consistency_Index,Credit_Utilization_Velocity,Negotiation_Frequency,Response_to_Reminder_Ratio
INV00001,CUST003,Retail,2022-08-17,2022-10-16,5752.389895131571,5243.410791385349,112.67223749647735,Partially Paid,2023-01-11,90+,84.0830937176545,1,1,26.829148224531032,0.2991079936685668,1,0.4024742436113377
INV00002,CUST017,Retail,2022-02-21,2022-04-22,1237.7111640004925,0.0,1070.026600837573,Overdue,,90+,0.0,0,1,28.55152071665736,1.1181683587327482,4,0.37158681811397093
INV00003,CUST018,Finance,2023-07-18,2023-08-02,1861.405464724112,0.0,1579.8261207582514,Overdue,,90+,0.0,0,1,27.28577608481571,1.3323338509576728,1,0.79981198860957
INV00004,CUST017,Retail,2023-05-17,2023-07-16,16319.744499110542,9214.086122731916,7129.456624593502,Partially Paid,2023-07-21,90+,6.256472873001142,1,1,28.056088781387995,1.239723612166982,5,0.5213000689541306
INV00005,CUST017,Retail,2023-04-03,2023-04-18,10313.017103723312,7035.347589271406,3433.128081058301,Partially Paid,2023-05-14,90+,25.348738586771088,1,1,28.34965657295888,1.0459841086881194,0,0.711309111128589
INV00006,CUST018,Finance,2022-10-13,2022-11-27,12691.24172383477,8393.518333586688,3925.567657476095,Partially Paid,2023-01-24,90+,59.154270812708525,1,1,27.014003637425883,1.2156988865306584,4,0.9008028358923922
INV00007,CUST001,Technology,2022-07-29,2022-08-13,10714.854896465808,9117.772225726381,1449.7257629887238,Partially Paid,2022-10-20,90+,70.10063555656643,1,1,29.774895797696367,0.40397740872293386,4,0.29267571291095457
INV00008,CUST013,Finance,2022-06-28,2022-08-27,8816.883135559969,7925.833700433291,550.9454118709637,Partially Paid,2022-10-28,90+,62.80809061893622,1,1,25.297511176300528,1.4202652754573937,2,0.6898990354772241
INV00009,CUST016,Retail,2024-05-14,2024-06-13,14053.19562388424,7618.134574997925,6850.042944975681,Partially Paid,2024-07-13,90+,32.001122916799034,1,1,26.635064400503413,0.8913793225164593,1,0.3795769846517211
INV00010,CUST002,Finance,2022-03-07,2022-04-06,2260.0213470791364,2060.8233521207662,316.02478044266604,Partially Paid,2022-05-17,90+,40.78846086782909,1,1,27.502277626820703,1.1343023202549567,4,0.2635015347470563
INV00011,CUST013,Finance,2022-03-03,2022-04-17,10832.600032595717,9280.99878915772,1363.8663231880184,Partially Paid,2022-05-28,90+,37.388791958027575,1,1,25.19266403307973,1.0488988348779122,4,0.48272386936996237
INV00012,CUST012,Healthcare,2022-07-11,2022-09-09,12381.859397601116,6895.348352311602,5885.766824482378,Partially Paid,2022-10-08,90+,32.218204173946575,1,1,21.458268726616737,1.4183737542696315,0,0.28131894255825696
INV00013,CUST009,Technology,2023-03-24,2023-05-08,5978.710391103738,4949.94579131347,465.96964942411205,Partially Paid,2023-06-02,90+,23.207735196773683,1,1,25.187465142560548,0.6437432294277906,5,0.24282876610129492
INV00014,CUST001,Technology,2023-04-22,2023-05-07,6004.765480634518,3510.1363131937496,2214.1976343986603,Partially Paid,2023-07-06,90+,57.15362114783722,1,1,29.832623634484925,1.240518794130797,0,0.6939471928008039
INV00015,CUST012,Healthcare,2024-10-31,2024-12-15,9985.032382202973,5498.288329005768,4810.6076556795315,Partially Paid,2025-02-08,0-30,54.45871773992561,1,0,21.6364060250098,0.6489825905716701,3,0.37466861652880695
INV00016,CUST003,Retail,2022-02-24,2022-03-26,4304.117158445923,4269.921263061003,410.23281468502216,Partially Paid,2022-05-23,90+,55.22294145440114,1,1,26.542927920497736,0.653848140838749,0,0.5661019433320823
INV00017,CUST012,Healthcare,2023-02-12,2023-03-29,15972.150080740448,11556.425403514393,4727.858592950527,Partially Paid,2023-05-26,90+,56.73004519885701,1,1,21.392181578601985,1.3508538697789898,5,0.5532193306591926
INV00018,CUST008,Manufacturing,2024-05-09,2024-05-24,11048.042066872375,9106.520186376547,1336.4002029440776,Partially Paid,2024-06-27,90+,35.04672047937483,1,1,27.19394074700256,0.7636442724011744,2,0.6367788096960939
INV00019,CUST004,Finance,2023-03-28,2023-05-27,7863.733739506216,4310.828149348868,3434.868914551974,Partially Paid,2023-08-23,90+,89.05976537233774,1,1,25.97678453659803,1.35723697652357,2,0.4490175993024304
INV00020,CUST019,Retail,2024-07-08,2024-08-22,12471.30485129363,8720.031072993355,4761.342558252524,Partially Paid,2024-09-05,90+,11.268517930981318,1,1,26.934612997481562,1.2280761807857958,4,0.7587262639633863
INV00021,CUST011,Technology,2023-07-24,2023-08-08,17185.71693749433,316.20893676668135,17061.473713054616,Overdue,,90+,0.0,0,1,27.62415956101402,0.7046778726735168,0,0.3228331649924683
INV00022,CUST005,Retail,2022-01-14,2022-02-13,13717.054488853635,8220.66481284396,5599.456904751826,Partially Paid,2022-03-28,90+,46.26845964333492,1,1,27.833118234200093,0.4774865968027714,5,0.3193470420995859
INV00023,CUST002,Finance,2022-11-23,2023-01-22,1808.2430529882806,1100.0278134515754,531.7693188455808,Partially Paid,2023-02-11,90+,21.51020562949853,1,1,27.143556026921292,1.0367351181249804,0,0.9422984080685135
INV00024,CUST012,Healthcare,2024-05-15,2024-06-29,13723.242859694054,0.0,14401.251627235739,Overdue,,90+,6.313001935425373,0,1,21.816282296002527,0.2948407370982911,4,0.8558764558652524
INV00025,CUST018,Finance,2023-11-28,2024-01-12,14580.99573387276,11775.890269438025,2412.952511833339,Partially Paid,2024-02-02,90+,24.59032189526899,1,1,27.211624809991363,0.3940411330280025,1,0.4290479010112005
INV00026,CUST011,Technology,2023-07-24,2023-08-23,17037.344628903513,13485.131304623685,3709.6594073180586,Partially Paid,2023-09-21,90+,32.481300209645795,1,1,27.70728782878077,1.0221861590206807,2,0.3697015459229891
INV00027,CUST006,Healthcare,2022-11-15,2022-12-30,1305.2699045953013,2000.7079828103622,162.2340865524929,Partially Paid,2023-03-02,90+,57.77766639647393,1,1,24.34432536848223,0.8700937907675743,4,0.7632308644507271
INV00028,CUST015,Technology,2023-03-17,2023-04-16,2286.874850574793,399.651047334163,2289.0152247946453,Overdue,,90+,2.3239039677380084,0,1,26.049798132268805,1.2217484560129652,1,0.8447466608986333
INV00029,CUST016,Retail,2023-11-21,2023-12-21,8803.404791880117,6483.793529756371,2239.6265498090916,Partially Paid,2024-02-18,90+,58.83843236932848,1,1,26.633433816315303,0.35314056794322424,1,0.36065796158757535
INV00030,CUST006,Healthcare,2022-07-29,2022-09-27,9258.664717127625,7789.884653312875,1269.1898856788036,Partially Paid,2022-10-28,90+,29.323739677473846,1,1,24.30441856602223,1.318990017775245,4,0.3533090603570912
INV00031,CUST005,Retail,2022-07-09,2022-08-08,12202.904268797216,8908.915062209257,2902.309342062235,Partially Paid,2022-09-05,90+,28.51115562637786,1,1,27.566981362896435,0.879359572751599,3,0.6264204329804554
INV00032,CUST003,Retail,2024-02-18,2024-03-19,7052.407983001006,0.0,6373.103112335122,Overdue,,90+,2.875631430454843,0,1,26.66406099405312,1.4520332755442802,5,0.7980310055533912
